root@ubuntu-s-1vcpu-1gb-tor1-01:~# ping 137.184.168.203
PING 137.184.168.203 (137.184.168.203) 56(84) bytes of data.
64 bytes from 137.184.168.203: icmp_seq=1 ttl=64 time=0.036 ms
64 bytes from 137.184.168.203: icmp_seq=2 ttl=64 time=0.066 ms
64 bytes from 137.184.168.203: icmp_seq=3 ttl=64 time=0.051 ms
64 bytes from 137.184.168.203: icmp_seq=4 ttl=64 time=0.052 ms
64 bytes from 137.184.168.203: icmp_seq=5 ttl=64 time=0.145 ms
64 bytes from 137.184.168.203: icmp_seq=6 ttl=64 time=0.045 ms
64 bytes from 137.184.168.203: icmp_seq=7 ttl=64 time=0.054 ms
64 bytes from 137.184.168.203: icmp_seq=8 ttl=64 time=0.044 ms
64 bytes from 137.184.168.203: icmp_seq=9 ttl=64 time=0.047 ms
64 bytes from 137.184.168.203: icmp_seq=10 ttl=64 time=0.050 ms
